Place,Description
Red Fort,"Historic Fort in Old DelhiThe Red Fort Complex was built as the palace fort of Shahjahanabad ? the new capital of the fifth Mughal Emperor of India, Shah Jahan. Named for its massive enclosing walls of red sandstone, it is adjacent to an older fort, the Salimgarh, built by Islam Shah Suri in 1546, with which it forms the Red Fort Complex. The private apartments consist of a row of pavilions connected by a continuous water channel, known as the Nahr-i-Behisht (Stream of Paradise). The Red Fort is considered to represent the zenith of Mughal creativity which, under the Shah Jahan, was brought to a new level of refinement. The planning of the palace is based on Islamic prototypes, but each pavilion reveals architectural elements typical of Mughal building, reflecting a fusion of Persian, Timurid and Hindu traditions The Red Fort?s innovative planning and architectural style, including the garden design, strongly influenced later buildings and gardens in Rajasthan, Delhi, Agra and further afield."
Qutub Minar,"UNESCO World Heritage SiteBuilt in the early 13th century a few kilometres south of Delhi, the red sandstone tower of Qutb Minar is 72.5 m high, tapering from 2.75 m in diameter at its peak to 14.32 m at its base, and alternating angular and rounded flutings. The surrounding archaeological area contains funerary buildings, notably the magnificent Alai-Darwaza Gate, the masterpiece of Indo-Muslim art (built in 1311), and two mosques, including the Quwwatu'l-Islam, the oldest in northern India, built of materials reused from some 20 Brahman temples."
India Gate,"War memorial in New DelhiAt the centre of New Delhi stands the 42 m high India Gate, an ?Arc-de-Triomphe? like archway in the middle of a crossroad. Almost similar to its French counterpart, it commemorates the 70,000 Indian soldiers who lost their lives fighting for the British Army during the World War I. The memorial bears the names of more than 13,516 British and Indian soldiers killed in the Northwestern Frontier in the Afghan war of 1919.

The foundation stone of India Gate was laid by His Royal Highness, the Duke of Connaught in 1921 and it was designed by Edwin Lutyens. The monument was dedicated to the nation 10 years later by the then Viceroy, Lord Irwin. Another memorial, Amar Jawan Jyoti was added much later, after India got its independence. The eternal flame burns day and night under the arch to remind the nation of soldiers who laid down their lives in the Indo-Pakistan War of December 1971."
Lotus Temple,"Bahÿ'­ House of WorshipThe Lotus Temple, located in New Delhi, India, is a Bahÿ?­ House of Worship that was dedicated in December 1986. Notable for its lotus-like shape, it has become a prominent attraction in the city. Like all Bahÿ?­ Houses of Worship, the Lotus Temple is open to all, regardless of religion or any other qualification. The building is composed of 27 free-standing marble-clad ""petals"" arranged in clusters of three to form nine sides,[1] with nine doors opening onto a central hall with a height of slightly over 34 meters[1] and a capacity of 1,300 people.[2] The Lotus Temple has won numerous architectural awards[3][4] and has been featured in many newspaper and magazine articles.[5]"
Akshardham,"Ornate Hindu temple complexSwaminarayan Akshardham, popularly known as Akshardham or Akshardham Temple, is one of the most popular Hindu temples in India. The 141 feet high, 316 feet wide and 356 feet long beautifully built Akshardham Temple has been recorded in the Guinness Book of World Records as the world's largest Hindu temple campus."
Jaipur,"Capital city of RajasthanJaipur is the capital of India?s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or ?Pink City? for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence. "
Udaipur,"City of Lakes in RajasthanUdaipur, formerly the capital of the Mewar Kingdom, is a city in the western Indian state of Rajasthan. Founded by Maharana Udai Singh II in 1559, it?s set around a series of artificial lakes and is known for its lavish royal residences. City Palace, overlooking Lake Pichola, is a monumental complex of 11 palaces, courtyards and gardens, famed for its intricate peacock mosaics."
Jaisalmer,"Golden city and desert outpostThe city of Jaisalmer also acts as the guard to western Rajasthan (and India's) frontier. This 'Golden City' is located close to the Pakistan border and in close proximity to the Thar Desert. The city's most prominent landmark is the Jaisalmer Fort, also called Sonar Qila (Golden Fort)."
Amer Fort,"Majestic fort near JaipurAmer Fort or Amber Fort is a fort located in Amer, Rajasthan, India. Amer is a town with an area of 4 square kilometres (1.5 sq mi)[2] located 11 kilometres (6.8 mi) from Jaipur, the capital of Rajasthan. Located high on a hill, it is the principal tourist attraction in Jaipur.[3][4] Amer Fort is known for its artistic style elements. With its large ramparts and series of gates and cobbled paths, the fort overlooks Maota Lake,[4][5][6][7] which is the main source of water for the Amer Palace."
Pushkar,"Holy city and site of Pushkar FairPushkar is a sacred pilgrimage site for Sikhs as well, according to Gurmukh Singh, with Gurdwaras dedicated to Guru Nanak and Guru Gobind Singh. These have historic roots, with the Guru Nanak Gurdwara in the eastern part of the town called Guru Nanak Dharamsala, a name common for Sikh shrines before the 20th-century."
